Defeat( rybarikova , belinda bencic )
Defeat( radwanska , yvonne meusburger )
Defeat( nadal , roger )
Defeat( tomlj , ajla tomlj )
Defeat( roger , kei )
Defeat( bryan , pospisil )
Defeat( morzova , olga morzova )
Defeat( serena , boyles )
Defeat( dimi , grigor dimi )
Defeat( nadal , rosol )
Defeat( isto , denis isto )
Defeat( lucic-baron , mirjana lucic-baron )
Defeat( tomljanovic , ajla tomljanovic )
Defeat( yvonne , yvonne meusburger )
Defeat( wawrinka , janowicz )
Defeat( maria sharapova , murray )
Defeat( it , dimitrov )
Defeat( lisicki , bouchard )
Defeat( falla , alejandro falla )
Defeat( golubev , getty )
Defeat( corne , alize corne )
Defeat( nadal , darcis )
Defeat( halep , eugenie bouchard )
Defeat( raonic , federer )
Defeat( bouchard , simona halep )
Defeat( vasek , bryan )
Defeat( williams , serena )
Defeat( gilles muller , a )
Defeat( halep , eugenie )
Defeat( busta , carreno busta )
Defeat( young , donald young )
Defeat( feder , milos raonic )
Defeat( http://t.co/oqqcpoockk , marketwatch http://t.co/oqqcpoockk )
Defeat( muller , roddick )
Defeat( aliz c , c )
Defeat( djokovic , murray )
Defeat( haase , robin haase )
Defeat( bou , eugenie bou )
Defeat( golubev , novak )
Defeat( andy , goffin )
Defeat( konta , johanna konta )
Defeat( nadal , rogie )
Defeat( ward , james ward )
Defeat( na , djokovic )
Defeat( mckinley , chuck mckinley )
Defeat( halep , bouchard )
Defeat( yanina wickmeyer , stosur )
Defeat( gulbis , roge )
Defeat( novak , roger federer )
Defeat( frank , frank #dancevic )
Defeat( toni nadal , nadal )
Defeat( jamie murray , broady )
Defeat( #nadal , rafael #nadal )
Defeat( sampras , gilad b )
Defeat( stepa , djokovic )
Defeat( #mahut , nicholas #mahut )
Defeat( david goffin , goffin )
Defeat( goffin , murray )
Defeat( jeremy chardy , chardy )
Defeat( federer , novak djok )
Defeat( raonic , regine tanaka )
Defeat( nick , roger federer )
Defeat( timea , timea bacsinszky )
Defeat( hantuchova , bouchard )
Defeat( djokovic , gilles simon )
Defeat( bednarek , tomasz bednarek )
Defeat( kvitov , bouchard )
Defeat( klizan , rafael nadal )
Defeat( ashe , jimmy connors )
Defeat( lleyton , michal przysiezny )
Defeat( eugeni , petra kvitova )
Defeat( nole , djokovic )
Defeat( and , simona hale )
Defeat( vesely , rafael nadal )
Defeat( zvonareva , vera zvonareva )
Defeat( konjuh , ana konjuh )
Defeat( tor , mara teresa tor )
Defeat( mikhail youzhny , ward )
Defeat( djokovic , mario cilic )
Defeat( aliz cornet http://t.co , http://t.co )
Defeat( shuai peng , peng )
Defeat( reister , julian reister )
Defeat( querry , sam querry )
Defeat( federer , joe liotine lifetimes )
Defeat( bouchard , cdn eugenie bouchard )
Defeat( tomic , berdych )
Defeat( pedro , josh sapwell )
Defeat( tim henman , mur )
Defeat( angelique kerber , kerber )
Defeat( djokovic , andrey golubev )
Defeat( murray , fred perry )
Defeat( querrey , tsonga )
Defeat( v , kristina schmiedlova )
Defeat( pasarell , charles pasarell )
Defeat( rola , kurumi nara )
Defeat( shuai peng http://t.co/e4rdqfuuc9 , http://t.co/e4rdqfuuc9 )
Defeat( azarenka , mirjana lucic )
Defeat( fedrer , rogrer fedrer )
Defeat( murray , novak djokovic )
Defeat( johanna konta , hantuchova )
Defeat( toby , federer )
Defeat( sou , nick kyrgios )
Defeat( nadal , rolf harris )
Defeat( shvedova , kr pliskova )
Defeat( watson , heather watson )
Defeat( sam stosur , stosur )
Defeat( jerzy janowicz , robredo )
Defeat( j murray/dellacqua , murray/dellacqua )
Defeat( nadal , rafa nadal )
Defeat( williams , djokovic )
Defeat( robert , nick kyrgios )
Defeat( andy murray , i )
Defeat( bro , bryan )
Defeat( nick kyrgios http://t.co/ougj1qfroa , http://t.co/ougj1qfroa )
Defeat( garbi , vandeweghe )
Defeat( andrew strauss , beckham )
Defeat( halep , zarina diyas )
Defeat( errani , sara errani )
Defeat( nadal , nick kyrigos )
Defeat( sharon , sharon fichman )
Defeat( h , alize cornet )
Defeat( leander paes , sania )
Defeat( venus , murray )
Defeat( safarova , ekaterina makarova )
Defeat( dimitri , nole )
Defeat( grigor dimitrov , dimitrov )
Defeat( federer , murry )
Defeat( hill , federer )
